Province_State,Lat,Long_,Confirmed,Deaths
Michigan,43.3266,-84.5361,2770359,38038
Minnesota,45.6945,-93.9002,1639213,13471
Mississippi,32.7416,-89.6787,913049,12794
Missouri,38.4561,-92.2884,1626913,21520
Montana,46.9219,-110.4544,305561,3502
Nebraska,41.1254,-98.2681,530925,4455
Nevada,38.3135,-117.0554,841839,11400
New Hampshire,43.4525,-71.5639,344823,2662
New Jersey,40.2989,-74.521,2685719,34583
New Mexico,34.8405,-106.2485,612146,8469
New York,42.1657,-74.9481,6004300,71196
North Carolina,35.6301,-79.8064,3120822,26335
North Dakota,47.5289,-99.784,265588,2348
Northern Mariana Islands,15.0979,145.6739,13120,40
Ohio,40.3888,-82.7649,3074826,39844
Oklahoma,35.5653,-96.9289,1174015,16720
Oregon,44.572,-122.0709,879640,8427
Pennsylvania,40.5908,-77.2098,3186823,46716
Puerto Rico,18.2208,-66.5901,933563,4996
Rhode Island,41.6809,-71.5118,418635,3645
South Carolina,33.8569,-80.945,1674281,18263
South Dakota,44.2998,-99.4388,257547,2993
Tennessee,35.7478,-86.6923,2309770,27521
Texas,31.0545,-97.5635,7842552,90067
Utah,40.15,-111.8624,1029759,4981
Vermont,44.0459,-72.7107,140308,707
Virgin Islands,18.3358,-64.8963,22771,122
Virginia,37.7693,-78.17,2050814,21479
Washington,47.4009,-121.4905,1787212,14066
West Virginia,38.4912,-80.9545,584771,7294
Wisconsin,44.2685,-89.6165,1838108,15097
Wyoming,42.756,-107.3025,174828,1881
Alabama,32.3182,-86.9023,1494300,20160
Alaska,61.3707,-152.4044,294498,1338
American Samoa,-14.271,-170.132,8168,34
Arizona,33.7298,-111.4312,2254374,31114
Arkansas,34.9697,-92.3731,936411,11933
California,36.1162,-119.6816,11126480,94882
Colorado,39.0598,-105.3111,1634692,13177
Connecticut,41.5978,-72.7554,877823,11269
Delaware,39.3185,-75.5071,303196,3070
Diamond Princess,,,49,0
District of Columbia,38.8974,-77.0268,166381,1382
Florida,27.7663,-81.6868,7042096,80027
Georgia,33.0406,-83.6431,2870629,39772
Grand Princess,,,103,3
Guam,13.4443,144.7937,58035,390
Hawaii,21.0943,-157.4983,339514,1644
